Album,Song,Question,1,2,3,4
TCD,We Don't Care,We wasn't supposed to make it past *,25,21,18,28
TCD,All Falls Down,"I can't even pronounce nothin', pass that *!",Versace (Ver-say-see),Gucci (Guh-chee),Givenchy (Guh-vin-chee),Prada (Pray-dah)
TCD,Spaceship,Doin' * beats a day for * summers,"5, 3","6, 2","8, 4","3, 2"
TCD,Jesus Walks,"But if I talk about God my * won't get played, huh?",record,song,album,track
TCD,Never Let Me Down,"But I can't complain what the accident did to my left eye, 'cause look what an accident did to *",Left Eye,left I,standbys,stepma
TCD,Slow Jamz,She got a light-skinned friend look like *,Michael Jackson,Bush the 2nd,someone skinny,my new Bentley
TCD,Breathe In Breathe Out,Always said if I rapped I'd say somethin' *,significant,relevant,iller than,sicker than
TCD,School Spirit,"I went to *, he was a motherf--king waiter there",Cheesecake,Denny's,IHOP,Friendly's
TCD,Lil Jimmy (Skit),"I'm going to get *, so I, too, can die without money but I'll be the smartest dead guy!",super smart,a degree,two degrees,educated
TCD,Two Words,"So I live by two words: ""fuck you, * me""",pay,play,raise,lay
TCD,Through The Wire,"Dawg, don't you realize I'll never make it on a * now?",plane,train,yacht,show
TCD,Family Business,"Now she like ""See, that's my cousin on *!""",TV,stage,the radio,the news
TCD,Last Call,"Mayonnaise-colored *, I push Miracle Whips",Benz,Lexus,Porsche,Lambo
LR,Heard 'Em Say,They say people in your life are *,seasons,blessings,fake,Christians
LR,Touch the Sky,"Damn, them new * hurt my pocket",loafers,chains,bags,cars
LR,Gold Digger,"Holla, ""We want *! We want *!"" (Yeah!)",prenup,drinks,stacks,dancers
LR,Drive Slow,"If you had a car, you was the Chi-Town version of *",Baby,Jay-Z,Biggie,50 Cent
LR,Crack Music,"Went from being a broke man to being a dopeman to being the *, look there's hope man",President,greatest,rapper,king
LR,Roses,You telling me if my grandma's in the * right now she'd be okay?,NBA,emergency room,right mood,best place
LR,Bring Me Down,Since * passed away most you rappers don't even deserve a track from me,Pac,Biggie,L,Pat
LR,Addiction,What's your addiction? Is it money? Is it girls? Is it *?,weed,crack,fame,music
LR,Diamonds From Sierra Leone (Remix),I thought my * was so harmless,Jesus piece,diamond chain,jewelry,necklaces
LR,We Major,"I'ma be late, though, I gotta figure out what I'm finna *",wear,drive,bring,say
LR,Hey Mama,"*, Nikki Giovanni, turn one page and there's my mommy",Maya Angelou,Harriet Tubman,Oprah Winfrey,Rosa Parks
LR,Celebration,All that talking is gon' give me a *,Tylenol,Aspirin,headache,problem
LR,Gone,"Shorties at the door 'cause they need more inspiration for they life, they *, and they songs, they said, ""Sorry, Mr. West is gone""",souls,beats,persona,videos
LR,Diamonds From Sierra Leone,"Now all I need is y'all to pronounce my name. It's Kanye, but some of my *, they still say Kayne",plaques,cards,records,tracks
LR,Late,Now I'm in the shop class or the *,basket weaving,pottery,sewing,shoe shining
